genes,SRR2973353,SRR2973354,SRR2973355,SRR2973356,SRR2973357,SRR2973358,SRR2973360,SRR2973361,SRR2973365,SRR2973366,SRR2973367,SRR2973368,SRR2973369,SRR2973386,SRR2973393,SRR2973396,SRR2973397,SRR2973400,SRR2973404,SRR2973409,SRR2973416,SRR2973417,SRR2973433
KCNK1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNK10,0.073004,0.761354,0.111566,0.116509,0.077769,1.914935,0.099957,0.128426,0.139578,0.134048,1.126677,0,0.271525,0.895843,0.129189,0.117218,0.263264,1.104432,0.401142,1.691387,0.244441,0,0.070113
KCNK3,0.127068,0.212249,0.140883,2.295046,0.091115,0.14385,0.096204,0.948242,0.210236,0.653835,0.282317,3.575151,0.310001,0,4.490735,0.202206,0.730578,1.077611,0,0.535076,0.084763,0.039979,0.054033
KCNK6,11.857843,8.387205,3.153185,7.508722,22.137157,6.351018,15.41121,4.464035,12.518337,0.782815,52.593243,3.098866,20.093257,12.867089,49.413731,5.482805,54.412813,4.732379,30.215754,9.159613,6.294122,0,1.506569
KCNMB1,0.837045,1.673621,0.888863,1.026019,0.725767,0,0.264945,3.373246,0.469287,0.574233,0.333491,1.33662,0.078264,1.491924,1.684056,0.258419,0.952277,0.146222,2.170189,6.137001,1.521257,0,2.155212
KCNMB3,0.50974,0.035625,0,0.187524,0.159352,0.271215,0,0.333313,0.096814,0.950603,0.669992,0.101076,0.033837,0.141415,0.437445,1.127448,0.071737,8.395153,0.043537,4.419301,0.274833,0,4.499738
KCNV1,0.43709,0,2.913898,1.557602,3.042098,0.946953,0.279347,0.814617,1.98342,0.09745,0,1.149645,0.904284,0.691924,0.390902,0.648225,0.116927,0.363693,3.084237,0.999553,0.320392,0,0.23183
KCP,0.52398,23.214865,2.694436,0.816214,4.755864,9.377485,48.135398,2.539652,4.64575,11.888478,8.034196,1.026492,4.359646,2.239504,2.96217,0,2.71575,2.233506,2.290761,6.057107,3.66906,2.546774,2.667666
KCTD1,3.615237,0,4.257179,0,0,14.122915,1.501808,0,4.172557,7.343915,5.539645,2.110036,10.820079,0,1.983007,0,2.45026,0,3.368246,1.72738,29.568636,0,0
KCTD10,3.126669,7.590222,34.924011,0.84092,16.854261,0.067424,11.16212,6.590061,2.004504,5.050439,2.934653,1.023503,6.432227,1.347076,18.891849,10.491727,0.344666,4.230635,11.770794,0.322568,3.558126,1.30364,0.906336
KCTD18,24.822647,71.696161,19.975211,0.25046,9.810649,0.424637,5.833675,5.229464,1.014696,0.465936,16.942875,0.354709,5.683552,0.479959,4.213855,0.502715,3.907556,1.036637,45.672965,2.61981,4.456234,0,0
KCTD19,8.356213,56.431776,23.526439,25.420509,2.99085,32.623988,35.669573,11.076399,6.317054,1.367856,11.156663,22.744192,21.768912,25.843872,25.199332,7.299406,1.82837,1.768043,0,0.571877,39.017295,0,33.50561
KCTD20,6.040239,1.362646,32.346899,0.105535,31.489016,1.298292,3.561773,0.406144,29.400542,13.818722,77.382841,3.872074,5.387813,10.370577,9.462962,28.124652,0.816863,26.194713,2.458222,92.240049,1.115927,17.174774,12.366779
KCTD21,5.188441,0.508732,2.341653,2.761718,4.564248,1.346302,0.134151,5.038378,0.965918,0.163012,1.692256,4.157907,0,2.581716,0.224621,0.120399,0.81475,1.067651,1.820671,0,9.83709,0,12.521512
KCTD3,62.117475,26.136364,5.977411,2.547506,4.469949,1.121512,6.000206,14.329387,9.385189,0.082785,0.62924,147.177867,1.594456,9.346718,69.461621,32.368142,0,0.432,11.107554,3.220816,0,0,6.164155
KCTD6,19.954098,35.656451,26.222706,1.033527,0,0,358.540034,0,0,0.633482,0.28115,7.988923,0,0,33.428148,19.924496,2.48978,0,0.277538,0,0.025359,0,0
