genes,SRR2973300,SRR2973301,SRR2973303,SRR2973306,SRR2973307,SRR2973309,SRR2973312,SRR2973314,SRR2973315,SRR2973316,SRR2973317,SRR2973318,SRR2973319,SRR2973320,SRR2973321,SRR2973322,SRR2973323,SRR2973324,SRR2973325,SRR2973326,SRR2973327,SRR2973329,SRR2973330,SRR2973331,SRR2973332,SRR2973333,SRR2973334,SRR2973335,SRR2973337,SRR2973338,SRR2973339,SRR2973340,SRR2973341,SRR2973342,SRR2973343,SRR2973344,SRR2973346,SRR2973347,SRR2973348,SRR2973349,SRR5023449,SRR5023451,SRR5023452,SRR5023537,SRR5023540,SRR5023543,SRR5023544,SRR5023546,SRR5023547,SRR5023554,SRR5023557
NPC2,217.859811,63.287389,172.158084,3.774582,36.307084,204.539508,232.708309,103.266155,42.448652,137.899989,159.889738,324.846199,191.244589,98.336688,242.504258,120.399281,3.831438,66.227929,53.006638,88.337754,74.658176,97.994984,194.232564,12.704736,266.228888,0,3.253312,134.956106,148.802005,147.480963,61.549226,23.00538,49.794286,176.615429,213.062253,17.40658,124.270393,23.384245,0,6.113001,0,17.783638,16.383608,327.732726,376.26614,567.861652,869.102627,234.695444,342.988471,197.974266,646.267479
NPDC1,0,0,0,0,4.733106,0,0,0,0,0,0,0,0,0,0,47.192399,0,0,0,0,0,0,0,0,1.626231,0,7.838369,1.530996,0,2.182537,0,0,0,0,0,0,1.78147,1.878473,0,0,0,0,0,0,1.606237,8.931499,0,0,2.375239,6.524249,1.804561
NPEPPS,290.603892,243.730956,213.138881,14.166647,105.107837,105.512228,69.443665,123.323562,47.121101,21.354524,222.023672,122.847952,60.190904,36.726299,159.38636,110.773237,228.690861,247.354893,93.380294,104.350486,58.824896,79.529274,110.386964,250.165347,62.427214,34.334465,104.324354,100.696266,356.090911,23.512006,133.197299,266.9014,184.42909,17.772657,78.544231,77.541168,81.889796,60.423486,112.784247,100.225489,90.772869,95.640002,0,136.009685,247.01217,30.844217,141.821953,36.08664,4.117554,212.117409,109.552025
NPFFR1,0.476249,1.042955,0.611492,0.626025,2.736502,2.141588,2.224011,1.019437,1.303988,0.3825,1.688871,0.09073,1.661618,0.218555,1.89151,1.1867,0.97695,0.531995,5.758715,1.100672,0.557949,0.814272,1.577704,2.884341,0.445778,0.356292,0.540899,1.637636,1.0661,0.468854,3.120474,0.432453,0.223589,0.344423,2.286997,0.603363,0.299894,3.325321,2.192117,0.731616,0.215457,0.196049,1.230946,0.741798,0.145707,0.458255,0.186332,0.125767,0.050621,0.084602,0.020704
NPHP1,1.107605,0,0.128575,0,10.146832,0,0,0.091116,0.310933,1.553256,0.112725,0,0,0.088885,15.853175,3.158198,1.353266,0.648521,0.29892,0.555033,0.319868,4.568106,4.691769,0.727988,0,0.096886,0,0.732344,11.984705,0.133427,1.45474,0,7.869022,56.042159,0.245909,0,0.111199,3.470501,364.084021,0.105022,0.859437,0.691423,0.629975,0,0.872163,0.264823,0.223123,0,0.037966,10.456809,5.985692
NPHP3,0.947347,0.378843,3.584674,3.779544,0.271417,3.17813,0.389505,13.05617,0.217781,0,22.978125,0.340526,3.578835,0.198409,136.334179,8.576129,0.165926,1.301396,33.129203,9.24406,1.553928,0.793914,10.184333,6.779033,3.78224,0.077405,0.212992,7.501626,24.564303,4.516716,26.51831,0.8101,2.158741,74.630042,2.429232,4.540178,6.885483,0.358089,2.581036,0.279111,1.187738,2.432356,0.323241,0.090437,0.733169,0.327396,0.036769,0,0.96923,0.138119,0
NPHS1,1.014257,0,0,0.190159,0.98425,0.598455,0.512889,0,0.324883,0,0.452279,0,0.216156,0,0.545788,0.70479,0,0,0.263405,1.497185,0,1.08556,0.29859,11.120307,2.174606,0.526342,0.176876,0.800666,0.820262,1.169022,0,0,0.169901,0.224758,1.250961,4.016705,0.191419,0.324918,2.596715,0,0.144898,0.220608,0.02439,0,0.383463,1.569796,0,0,0,0,0
NPIPA8,2.014694,0,67.881495,6.278327,2.006634,0,0,11.857907,0.746879,36.804577,54.706648,6.506342,2.505317,2.968153,0,3.391484,0,182.513572,10.032651,0,0,24.672186,6.347418,0,10.639783,5.417331,9.293307,19.450979,18.415006,11.804432,0,2.576594,0,0,6.907776,4.948205,0,0,1.959506,2.087115,1.090632,1.634095,0,1.935748,0,0,3.813769,26.910071,60.388877,22.252838,4.661285
NPIPB13,0.628977,7.808818,8.822681,17.002724,0.693393,42.260621,0,0,0,0,3.386242,3.063381,1.170558,0,0,0,0,0,1.383869,0,0,3.274514,1.197542,2.91511,1.153537,0.263211,0.634929,8.844296,0,0,0,0,0,0,0,0,0,1.764095,0,0,0.180253,0.53991,2.972695,1.672217,1.145397,1.073461,0,0,0.680213,0,0.252872
NPIPB15,55.097296,72.456136,5.143461,0,13.196559,0,0,11.284555,0,3.785243,44.037648,0,11.606141,0,28.394477,0,2.853978,83.588927,67.689197,9.818216,0,0,36.388904,68.165897,0.978935,0,18.279046,29.101244,74.559061,0,18.028275,0,2.915879,0,17.466312,15.637456,12.934248,2.56542,26.611926,6.205705,0,195.671302,0,4.341299,0,2.397023,0,47.063219,0,0,0
NPIPB3,28.494443,0,20.460303,17.508911,0,0,13.494918,2.346945,0,10.247874,0,0,0,0,0,18.433681,0,67.282436,21.070779,185.231326,0,0,2.951466,0,2.30E-05,0.000113,106.803699,496.397437,0,124.118034,16.317322,6.434125,2.652919,0,0,8.030433,0,11.235016,68.363981,0,3.805339,0.003153,137.37568,0,0,0,0,0,0,0,0
NPIPB4,3.207564,12.363891,13.739372,7.499327,4.12224,48.989102,117.714213,6.756336,25.704758,9.174407,9.569627,1.916706,53.001861,44.248106,3.866268,109.912778,0,4.567485,28.912992,27.809521,1.91377,43.24278,0.411235,17.300786,38.374247,77.863119,49.820079,22.54093,223.346963,36.56029,94.947318,0,54.737318,44.312969,9.750754,12.756866,37.382496,66.521468,41.840523,96.129507,12.552834,13.77994,89.159724,0.284431,23.489172,0,0.268949,0,4.131102,1.425646,46.77969
NPIPB5,324.905497,641.795161,126.255387,142.271834,27.576724,173.974287,115.450018,149.879608,623.351056,213.338791,441.83737,18.001677,80.436349,21.633147,53.249622,181.554937,8.082402,722.231438,287.565165,206.953914,70.068395,97.170824,318.940557,594.189124,67.536333,210.381219,178.554267,192.488306,596.324798,66.449311,57.39158,11.688937,687.60573,15.692001,103.571154,393.686008,145.492719,664.831986,754.995638,39.700188,170.664209,148.353368,399.264068,0,103.406694,6.28097,0.042108,0,13.264158,1.317156,106.77404
NPL,2.828741,3.68212,6.282748,0,7.643837,0,0.879154,1.454149,0,0,8.92397,0,6.857487,0,1.637641,0,0.189385,0.520492,0,4.572042,0,0,1.133514,24.095803,0.747191,0.959361,0.947938,0.506023,0.431177,0,1.050666,0,0.444356,0,27.060597,9.478529,2.453522,0,0,0.483071,0.814012,0,0,0,4.226401,0,0.155019,0,0,0,0
NPLOC4,138.725795,19.634116,155.831035,3.081309,16.16889,165.027881,133.951579,26.333005,29.39696,11.176193,13.780899,9.590713,5.912223,111.254569,12.802074,125.464142,14.578867,17.83239,38.232919,16.992681,50.281963,16.620751,125.740446,107.47411,35.795744,5.348228,28.147793,34.492077,33.517107,39.672759,11.152317,4.256194,8.15853,65.948134,21.345791,416.384742,17.503627,14.551586,17.436918,3.693268,49.26438,61.535563,3.123751,0.348348,12.532404,1.080866,0.628213,5.457285,2.755954,2.3687,0.283948
NPM1,422.39408,223.846948,1067.326879,751.206282,935.284257,476.455854,1035.87111,812.948233,79.508222,1085.047901,729.438818,2315.827625,679.467373,887.56508,885.761699,657.465547,710.169868,265.95748,221.085833,299.241808,849.983491,298.53717,513.507104,418.093586,1325.95758,42.955033,587.876753,1040.410095,922.928934,393.222915,796.943954,1426.842615,863.097441,993.770292,490.151384,208.353559,360.078666,9.952428,597.322531,953.141121,102.292476,152.669934,8.029905,544.624671,2532.621881,432.958256,762.45279,1539.43917,776.536791,1871.999678,1523.922821
NPRL3,0,1.927618,0,0.694332,0,0,0,10.715701,3.555252,1.761969,13.52098,0,0.854572,1.611155,52.989548,0,2.04639,51.098489,5.539762,29.712578,42.392148,0,6.984476,0,5.274492,185.01795,17.264994,4.837835,0,0,0,0,0.240077,0,0,2.934633,1.703431,8.276845,0.361938,0.67988,0,0,0,0,0,0.345357,2.243157,0,0.508141,0,0
NPTN,28.094511,21.215346,15.266517,1.016958,7.858644,105.792599,40.723992,156.456399,52.680588,2.438953,50.566779,0.894864,0.747606,4.918214,90.26579,3.348935,4.599166,22.867276,11.636059,30.905932,9.264531,1.505863,38.348324,0.255215,90.359279,15.18679,103.116554,19.398247,41.113848,3.728861,97.446672,140.061359,184.688933,28.916397,0.69502,0.173173,33.719208,29.599509,2.75176,138.637442,2.200281,11.013099,696.510477,29.706737,4.578007,139.267077,71.267956,218.562368,3.917156,40.540261,286.495507
NPTXR,0,0.131968,0,0.125286,0,0,0,1.07793,1.284662,0.224451,1.193147,0,0.148602,0.442275,0,0,0,0,3.55578,0.196009,0,0,1.499306,6.985785,2.934823,0,0.120957,0.262633,1.454211,0,0.384221,0.568044,2.621592,1.141188,0.599009,1.21381,0,3.598473,0.13218,0,0.063504,0.131433,0,0,0,0,0,0,0.036142,0.234744,0
NQO1,106.062022,0.80962,206.525223,2.833056,400.678276,37.989836,336.814636,806.146041,64.797507,77.521428,20.956664,0,5.866302,44.715296,137.448441,201.752843,2.124069,2.717104,20.26415,41.193594,346.592762,5.110537,66.649012,53.96416,950.953343,101.753457,477.338575,310.270404,64.680915,35.221386,2.495663,115.750341,267.02865,175.784293,4.001535,659.852526,146.474111,115.296968,215.811561,25.767992,1.300263,23.494812,0.276686,89.794418,429.101546,436.729522,432.266366,1126.542808,289.011134,462.883547,998.981368
NQO2,52.317818,220.366446,2.752423,71.072365,6.237891,7.485308,16.775166,19.010895,2.416969,0.807859,5.724841,0,9.744079,0.256122,52.993091,93.379259,1.506338,2.639021,3.612645,16.01669,34.675261,48.789562,12.837252,29.813712,62.341579,0.520449,1.14229,1.737219,3.060426,81.700735,52.940898,0.353162,32.688247,4.827804,18.409465,120.8889,12.677357,3.250495,61.373737,19.36157,6.076577,14.362759,0.555225,27.501339,1.230277,2.032431,0.147637,0.012395,86.064842,93.33662,0.743223
NR1D2,14.201293,0.062105,2.944191,10.787599,65.767253,16.159685,2.767499,29.356525,0,0.563705,26.807811,51.731847,1.536528,71.630368,3.576126,5.874527,28.293474,76.762124,1.83546,18.38025,0.215066,0,1.474238,9.974766,0.230376,0.206,4.218769,11.846282,168.371197,3.46015,6.910464,93.761911,19.92316,0,4.054113,0.992329,11.163862,0.122044,60.464342,18.107352,0.129725,0.042597,0.208394,0.365547,18.830922,0,0,0,12.576654,0.057226,0
NR1H2,197.322511,0.934068,8.119949,0.827289,0.647292,6.02145,4.926713,0,1.697681,0,9.800034,0.576204,6.567647,0,0,41.189023,4.375784,1.338503,58.803813,4.390748,43.217011,3.734935,10.43527,8.205159,11.83373,0,225.848284,5.766181,2.350411,5.857115,7.85479,0.526145,0.643305,1.371881,5.953508,5.762982,0,21.162612,1.881057,7.903057,0,0,2.97618,0,1.047244,0,13.380977,0.276889,0,119.456596,0
NR1I3,4.448716,0,0.877299,0.406581,5.863769,1.30474,3.175752,0.488812,1.068061,1.245425,2.823425,0.38131,1.266228,2.3605,0,0.920408,1.266266,4.510645,2.238205,0,1.021789,2.336915,2.329316,3.295591,2.305129,0,2.346755,0.845185,3.099704,23.761047,4.324297,2.729093,0.713499,2.892714,0.900229,3.278595,1.434812,1.661548,2.466748,1.139103,0.361367,0,0,0.933636,1.25254,1.565146,10.039853,0.259589,0.48884,0.377138,0.415692
NR2C1,0.557648,60.9374,128.221015,149.711136,58.79843,0.132828,93.862672,0.874567,0.079591,21.460353,63.405396,16.121082,176.483463,119.080509,8.340847,43.894348,225.387389,83.846172,66.730113,79.557741,0.346617,32.365685,104.979831,10.175156,55.730884,1.783701,37.372237,73.149732,53.712125,163.895845,93.509949,0.077847,0.923117,155.000636,25.707584,249.934661,0.175509,9.370756,340.59492,46.575394,3.31821,1.004529,0.324765,0,36.944815,0,0,0,0.180719,58.500188,0
NR2C2,6.541229,4.058474,0.3782,0.320348,4.638325,1.094276,1.696173,3.409141,0.686784,3.566871,1.456244,0,8.675043,15.630821,17.174342,160.425189,13.955485,5.12334,3.259044,20.798409,58.852507,2.452444,24.040703,47.234582,2.137357,0.140529,67.231072,0.553659,34.635938,38.024902,3.808146,0.364312,7.042825,5.033528,1.305257,2.418766,6.090259,0.16625,25.463289,5.204595,34.705963,3.68773,0,1.979291,0.689375,0,0,0.357999,110.217129,1.194628,0.062923
NR2F2,32.781234,0,0,0,38.307651,0,0,0.402743,4.904795,0,0,0,0,7.764574,0,5.52075,15.982145,0,0.952524,0,0,2.074171,7.92382,1.164702,15.371218,0,0,0,118.51326,0,0,0,15.432474,3.105708,0,23.38188,20.313779,124.633253,0,0,0.084201,0,4.244225,0,3.672434,1.075814,44.974756,16.110619,0.850062,29.272921,0.269771
NR2F6,95.955441,0,233.189168,0,3.935177,90.091092,49.06661,160.689189,5.215649,1.071507,1.074434,0,48.917491,1.722047,154.828288,4.512994,64.983699,0,31.193631,5.082171,0.981133,53.62472,13.810846,4.00215,21.879765,244.312643,7.708838,176.995284,3.074947,151.045571,11.168519,1.731123,15.19388,0,20.475578,194.648112,42.862815,0,4.924302,15.428486,300.429247,0,0,0,261.432772,1.15234,52.385494,7.405182,0,94.284407,3.998076
NR4A1,63.265493,18.505626,265.992131,57.881203,20.333518,86.041789,1.63542,70.921028,6.096396,6.439888,9.574222,22.389739,36.314534,10.150952,4.176888,62.605596,15.624635,43.163068,106.468486,10.934663,26.61954,1.992797,2.79353,34.451373,11.187481,376.62697,63.526306,308.580024,118.592465,0.012577,3.172383,39.377274,315.264193,10.540717,3.763232,39.46747,5.34441,210.388978,1.684712,9.876557,0.988984,30.187896,42.745772,0,67.252811,0.347761,1.132168,51.417901,0,1.388129,0
NR4A2,89.925649,0.608149,48.776216,12.535608,40.973562,39.464841,0.530694,1.367113,0,46.723464,9.540392,12.359319,4.714591,4.633837,7.915981,2.853834,0.619165,115.804913,74.678706,22.528072,45.299718,1.413762,35.279447,8.882931,0.555273,0.367962,0,90.272002,20.05732,12.722153,52.043802,0.113372,34.676169,3.560566,0.600499,92.077063,5.306062,0,0.430367,172.745428,60.756188,0.167407,26.678392,86.341677,11.689489,0,53.482212,0,0,0,0.113118
NR5A2,1.467667,0.430713,0,0,1.066123,0,1.869848,1.066121,0.53664,0,0.571815,0.069446,0.722606,0,0,0.300729,0,4.412365,1.507164,3.935544,0,2.364919,1.84382,3.527914,0,1.257632,0.064009,0,1.17506,0,0,2.55956,1.257971,0,0,0.842727,0.931845,0.312638,1.355134,0,1.143235,3.557542,0.062589,0,0,0,0.224516,0,0,0,0
NR6A1,0,0.412159,4.533105,0,0.077038,7.066667,0.060846,0,0,11.015306,0,2.819173,0,0.764919,14.397481,0.129755,6.362824,0,6.749085,0.089,0.094138,0.10415,0.417937,22.153879,0,0,12.29731,0.072789,0.305029,0.091837,15.574773,0.059898,0.187912,0.738285,0,0,0,0.105612,0.383352,1.126109,49.924846,0.092854,0.028735,0,0.045541,0.094427,0.060485,0,0.025091,0.173549,0.420073
NRAS,0.628316,0.315653,1.695912,20.568421,0.569606,4.506516,0,0.126151,15.381155,18.17542,41.221565,110.879231,0.34774,3.261848,1.154771,5.822326,0.145507,0.207305,0.620791,5.414579,7.495847,0.27371,9.443247,6.259701,5.017932,1.902608,0.514015,43.96109,62.540143,67.435761,2.870845,23.364408,0.667408,46.060623,2.353427,0.893541,2.661519,0.685229,0.319098,38.034042,2.263525,1.697548,0.032762,0,0,0.802677,0,0.078987,0,0,0.035605
NRBF2,13.697813,0,18.197237,3.985919,65.848133,0,19.676499,1.079451,7.758587,4.380003,72.093218,23.008616,0.301311,0.601452,57.556881,3.548344,1.798812,0,2.35159,89.924012,17.228601,0.889718,83.151605,3.67839,16.700356,0.219252,43.293594,55.285087,0,18.340998,19.364843,15.793451,112.445126,1.894108,24.157382,0,181.198877,0,0,221.782702,0,4.750199,0,90.449695,0.325111,5.696262,10.571568,30.070798,2.333858,16.857809,32.380995
NRBP1,136.168419,7.398108,30.65406,4.580402,125.111984,24.099214,1.731283,34.905345,15.283211,99.387785,36.871598,33.783409,59.694938,41.346382,49.846006,49.195373,0,100.866366,55.886762,15.664191,62.944595,5.537178,50.368108,92.260316,17.162577,2.646664,78.516942,5.819984,364.239043,145.736511,49.458456,148.429463,104.608296,112.546286,5.475169,5.412898,21.510367,12.072302,1.738378,33.036289,23.57078,1.108104,0.810417,18.242247,3.190599,0,31.939009,1.408242,0.498606,1.330856,27.977645
NRDC,124.19055,249.146902,17.099215,0,69.419745,37.008861,65.970787,16.561946,16.57562,24.603241,45.522198,8.814737,15.760392,3.048101,100.769808,81.176324,44.699057,0,12.745641,67.436702,65.093404,45.870192,65.406819,39.682987,89.724813,28.607578,2.094016,124.332506,4.90749,0,20.877238,29.99778,63.058375,29.573251,62.60635,15.528875,70.707043,0,21.793085,79.190822,5.337111,5.675472,1.121193,0.782486,73.711948,74.079919,24.274621,41.448528,7.419023,74.598206,31.979182
NRDE2,3.769662,0,5.849728,0.843189,1.567192,13.835385,0.271895,11.350679,0.921164,103.562038,0.553859,9.912016,11.048256,129.642206,7.324982,6.075295,29.068882,4.733703,5.187442,1.389702,0.793832,3.016172,0.724233,9.207456,0.764318,1.908672,29.232327,0.042513,1.294146,1.174668,33.56971,13.536296,0.491291,0,0.16272,31.954971,0.902562,10.811587,2.090922,0,0.262651,0,4.320934,0.057126,0.597158,0,0.107968,42.558054,0.04979,0.494168,0.041045
NREP,7.7781,0.628266,3.698728,0.585532,193.24391,96.669434,11.970511,28.089718,3.675779,0,0.962063,13.090931,6.526213,6.548455,0.383301,10.771312,0,8.848761,145.160123,5.010416,2.199781,4.615026,9.600442,0,79.959149,6.328776,119.654196,8.69239,3.25077,11.748199,1.385309,0,0,3.404475,6.388929,18.054616,0.116789,5.19921,7.793921,0.304916,2.867124,0,0.092152,0.105671,1.391509,6.358008,12.172592,0.919341,10.222372,2.476037,0.05368
NRF1,65.815693,0,0.975699,0,0,3.065976,40.241947,5.15803,0,0,3.369546,0,0,1.802717,3.870326,10.045091,0.138405,3.046339,0.258194,0.891029,0,19.536278,6.04571,0,0.388713,0,135.495984,62.693135,21.967899,52.667534,44.151906,4.829784,61.006288,1.375831,0,44.901467,14.842179,178.68732,1.549467,9.566356,26.995689,8.158287,0,0,5.370568,0,0,0.383006,3.014822,5.801801,8.796542
NRG4,6.256935,0.168681,59.025497,1.573212,0.778486,0,34.7808,13.295105,39.626045,0.718401,0.176489,0,0.13325,0,0,1.178024,0,1.965927,3.103642,0,0.322039,12.351578,8.122885,0,0.196178,0.932396,0,4.743358,26.272634,34.327048,8.821782,3.232976,5.537,2.533858,0,2.784515,0,2.805495,3.267216,36.883717,16.934413,0,0.577977,0,0.45143,0,1.925966,0,0,0,0
NRIP1,0,40.499094,0.30071,1.651759,0.08604,1.544623,0,0.037581,25.980557,0,5.493802,0,4.025666,0,29.576228,65.374638,1.057973,0.982173,0,120.156661,6.006869,0.482101,7.21928,7.198251,1.469362,0,1.232823,15.647444,128.494258,18.318061,2.499965,0.110891,0,0.040459,10.400995,0,0,1.442077,0,0.332147,0,0,0,5.104959,0.614893,2.325803,0,2.625698,2.030686,0,0.041439
NRIP3,12.336076,0.180417,14.228624,0,0,1.156427,0.332341,0.181744,0.389194,0.209994,0.121796,0,0,0,10.644728,0.287331,1.051418,0,0,0.167671,4.342964,0.826028,0.600305,0,0,0.217674,0.95825,0,0,0.379557,59.574289,0,0.271053,0,0.45739,0,0,0.124016,0,0,0.246665,0.068513,0,0,1.528269,0,0.054206,0,0,0.074897,0
NRP1,69.568009,0,0.595334,0.378637,0.182927,10.997184,0,0,2.548905,126.410111,0.703696,0.077666,6.001634,0.098797,103.219707,0.211922,1.298339,2.622337,0,3.345236,0.596538,0.307252,49.932204,13.508463,11.02102,10.382932,0,11.905248,7.664285,0,10.707954,1.1011,0.616528,0.540333,30.50245,1.973373,1.182388,0.179668,0,4.018,0,0.239043,0,0.121974,0.860237,0.06714,2.045197,0.775898,24.686835,0,49.119886
NRXN3,0.240562,2.451484,13.280586,0.100626,0.086826,0.405484,0.647044,0.192719,0.161994,0.442077,0,0,5.919828,0.142681,0.358185,0.039169,0.425619,0.064905,0.060884,1.044304,0,0.202133,11.498118,4.79541,0.04693,0.13667,0.042144,0.777762,0.107463,0.180399,0.071374,0.488395,0.037273,0.084423,1.349872,0,0,0.093948,0,0.045901,0.093728,1.549175,0.020028,0.022765,0,0.053946,0.040502,0.023579,0,1.321353,0.484226
NSA2,98.882998,0,10.703183,44.375589,7.181681,81.380888,48.461626,40.109399,32.253667,65.046339,72.073028,22.918313,8.547419,12.024535,6.765209,56.104913,21.34841,2.622337,7.465025,19.789018,49.266332,61.440482,8.776993,0,26.367621,0.062712,15.083989,3.387801,22.796141,15.572191,7.524143,56.099579,42.004459,0,13.073468,19.096017,4.863119,0,0.132928,4.550738,0,0,0.585559,31.359034,45.614278,142.947648,56.109728,17.921412,67.281359,120.134143,57.762539
NSD1,7.185087,70.814394,1.234384,9.42418,64.543907,0,53.301653,36.133887,1.689711,0.036873,0,0,7.147268,19.628016,13.288972,5.151658,0.072179,8.495001,7.974371,14.917379,44.457031,11.197136,35.375969,6.280209,9.730251,0.05678,23.741598,21.424956,22.796142,14.808812,32.85999,19.59092,3.006609,65.836487,1.564519,16.608996,1.649692,76.060673,2.06303,6.949472,16.608202,7.866009,10.688105,2.092462,31.466575,50.088999,12.80908,4.882484,0,6.563257,69.329754
NSD2,233.799917,11.908207,222.106359,18.16501,87.493041,17.483022,9.404249,104.933419,135.476939,86.408841,26.129943,3.124101,47.635768,5.009046,169.247849,40.005119,98.823724,178.255713,54.375205,67.895559,15.317922,30.065016,24.832277,456.99334,3.871488,90.799258,6.887275,22.646805,12.109517,10.570899,29.282974,87.810424,42.677789,102.899273,327.440701,40.887298,47.949755,51.485102,24.118133,17.558646,174.253258,2.109679,0.188763,0,71.359054,1.624223,4.540175,0.81846,0.271433,12.292754,1.974601
NSD3,297.406581,253.743538,261.470139,9.94381,59.720188,135.743182,32.328681,78.801584,79.58657,72.840678,87.844684,196.622537,76.972764,252.149728,102.039761,90.264106,26.281872,125.193631,113.859112,76.795569,85.077881,12.502248,46.594023,79.815141,81.16435,268.807519,47.334922,14.793414,251.958195,14.093562,203.99597,151.299172,150.951942,23.955304,43.963487,297.000657,243.373614,5.845657,43.197277,107.504438,192.358264,200.173778,0.044431,58.477212,87.156402,167.289201,173.385666,443.83785,125.077951,165.487084,134.32148
NSDHL,0,17.889878,0,1.542035,5.485267,142.896936,23.967902,7.142384,0,101.594002,174.507381,0,41.685645,0,2.283864,15.477905,57.181072,0,8.496933,0,19.802922,0,2.522037,0,0,1510.155925,0,6.942113,25.259056,0,0,4.275418,209.096276,0,0,0,17.818925,137.824019,0,41.584819,0,0,0,32.826477,34.746039,0,0,0,0,366.714097,0.299638
NSF,0,0,19.725941,0,0.932849,0,4.205598,12.644306,7.894903,55.566144,0.191586,0,1.499949,3.869926,0,43.986097,2.124069,0.277856,0,11.362169,36.518634,0,0.162923,0,10.752533,5.798984,5.303041,0.824096,1.673361,1.116856,11.221622,3.640533,1.171581,6.351024,51.098758,0.114681,0.325494,0,0,2.309258,0,0,0.129485,18.296572,24.026975,93.540857,95.703852,70.530602,3.768831,62.654482,10.179537
NSFL1C,209.550839,4.249441,61.636542,38.108172,141.39815,17.08538,158.44827,99.110417,0,12.697333,505.860039,135.870819,139.540668,4.772956,297.857218,62.162486,7.771796,11.539612,2.074351,324.506722,156.06701,67.736112,13.931116,0,34.419749,22.723954,4.076141,162.962224,362.483516,29.916467,39.407645,359.142298,189.953905,260.910708,9.829216,114.942808,4.929338,1.020975,1.274026,167.832197,0.733101,0,4.848622,37.262413,10.205175,176.097024,7.046218,0.545385,34.912926,8.179837,20.203483
NSG1,0,13.232345,55.569915,7.366699,20.08675,0.302475,39.717446,0,0,0,82.784396,7.338002,0,1.359367,0,0.222398,1.609068,0,0,16.562938,22.297941,1.334364,43.586603,520.695608,9.665314,0,0,0,30.882986,11.44606,0,0,20.630254,0,0,35.959419,0.000789,95.790651,339.949457,0,0,0,0.076904,0,0,0,0,0,0,0,0
NSL1,5.521736,7.918453,87.605113,0,67.886071,0,62.177931,58.808433,0.117957,0.963445,7.176591,4.518488,0,0,49.999143,27.145156,0,137.451675,2.24613,0,0.562641,0,2.709419,5.658404,29.961012,0,3.314729,0.129827,0,0,0,0,0.334694,20.936449,222.527355,0,0,0,2.546047,0,0.318838,0,0.145137,0,19.667496,0,157.436836,3.536374,0,48.218609,3.75426
NSMCE1,38.52716,198.921116,25.889678,0,115.908893,0,97.94093,142.369239,1.492525,16.878837,504.814957,346.865262,95.294972,98.410753,161.111716,87.503175,6.047072,0,28.818314,197.429212,95.993139,0.902024,198.452269,0,0,295.858216,46.683079,111.770108,2.051666,5.353449,728.113775,0,172.203846,35.653549,74.410063,97.541688,366.762045,207.296129,26.109445,209.455769,0,8.857965,0,9.621231,130.857067,21.632348,0,10.88248,4.052054,65.139914,20.991316
NSMCE2,48.824166,38.1435,15.302926,114.935646,144.78736,25.780497,15.04955,79.095811,6.678167,16.843405,0.494729,0,16.460374,88.673201,76.892975,60.013592,251.372536,395.260347,78.127995,105.30073,47.633826,70.700849,111.647811,615.253878,10.182163,0.984223,108.464704,52.984153,3.896057,19.078327,27.785556,269.039829,82.741364,26.791956,102.313901,49.44995,79.551945,37.718339,155.451789,101.19909,12.712822,0,29.724806,154.583395,293.675927,117.059702,35.364606,34.185059,141.247694,219.85065,89.475162
NSMCE3,20.323693,0,0,0,0,0.633396,2.14088,0,1.096244,0,2.508859,0.068589,0,1.313442,0,0,0,10.082961,0,0.145993,0,0,0.203758,0.122782,0.081851,0,0.149057,0.068661,0.277984,0.359715,0.955666,0.06581,0,2.946622,0,1.29476,0,0,0.296299,0.068348,0.052907,0,0.032868,0,0,0,0,0,0,0,0
NSMCE4A,107.936002,1.162984,3.719591,4.150237,18.345961,10.589085,1.059366,0,8.370058,665.078024,1.254276,7.070783,2.512289,7.792147,4.443604,1.756478,245.915776,5.837063,17.546563,0.4641,1.089775,125.760259,7.363476,107.240232,38.402866,44.508986,22.372521,13.064613,0,0,2.056401,2.345723,0.854007,0,1.969741,0.595844,0,1.878473,63.907442,0.549777,5.409211,0.646021,0.193674,0,28.348913,0,0.198927,39.180792,0,0,0
NSRP1,70.71253,178.443854,23.864511,319.508323,140.301519,222.551793,269.793454,197.862348,61.56467,71.660781,91.774246,49.616321,309.239911,113.457367,149.704429,120.149133,129.782312,119.919153,358.720119,194.915384,119.295168,291.505713,110.980793,140.82139,165.97941,10.396931,157.280687,46.918031,152.919274,93.372579,78.785533,69.794397,227.625032,131.293264,249.408365,305.184417,14.103286,159.737009,200.100995,145.395372,89.549234,103.428589,24.39138,60.241365,95.017057,51.89204,20.165675,30.064151,6.279036,92.760761,5.885325
NSUN2,8.68398,80.271771,117.066717,260.502585,4.347902,108.267834,3.271436,9.006567,125.167105,164.995096,43.777511,0.303205,15.799828,42.673377,71.288101,16.635701,0,0.902478,0.439541,23.485983,27.610743,137.379296,28.176935,14.178737,37.661496,0,18.555513,49.951717,204.690613,23.474362,0,0.91883,25.981526,27.393511,1.881616,0.224938,5.164446,0.378536,3.476749,0.193418,1.024305,0.301052,0,32.614408,1.084982,0,0.05194,2.994953,1.110463,0,0.787239
