genes,gene_short_name
PPP2R1A,PPP2R1A
PPP2R2A,PPP2R2A
PPP2R2D,PPP2R2D
PPP2R3A,PPP2R3A
PPP2R5C,PPP2R5C
PPP2R5E,PPP2R5E
PPP3CA,PPP3CA
PPP4C,PPP4C
PPP4R2,PPP4R2
PPP4R3A,PPP4R3A
PPP4R3B,PPP4R3B
PPP6R3,PPP6R3
PRCP,PRCP
PRDM1,PRDM1
PRDX1,PRDX1
PRDX2,PRDX2
PRDX3,PRDX3
PRDX5,PRDX5
PRDX6,PRDX6
PRELID3B,PRELID3B
PRELP,PRELP
PRICKLE2,PRICKLE2
PRKAA1,PRKAA1
PRKAB1,PRKAB1
PRKAG1,PRKAG1
PRKAR1A,PRKAR1A
PRKAR2A,PRKAR2A
PRKDC,PRKDC
PRKX,PRKX
PRMT1,PRMT1
PRMT2,PRMT2
PRNP,PRNP
PROM1,PROM1
PRORP,PRORP
PROSER3,PROSER3
PRPF3,PRPF3
PRPF38A,PRPF38A
PRPF38B,PRPF38B
PRPF39,PRPF39
PRPF40A,PRPF40A
PRPF4B,PRPF4B
PRPF8,PRPF8
PRPSAP1,PRPSAP1
PRR11,PRR11
PRR13,PRR13
PRR3,PRR3
PRRC2B,PRRC2B
PRRC2C,PRRC2C
PRRG4,PRRG4
PRSS23,PRSS23
PRSS8,PRSS8
PRXL2A,PRXL2A
PRXL2C,PRXL2C
PSAP,PSAP
PSD4,PSD4
PSEN1,PSEN1
PSIP1,PSIP1
PSMA1,PSMA1
PSMA2,PSMA2
PSMA3,PSMA3
PSMA4,PSMA4
PSMA5,PSMA5
PSMA6,PSMA6
PSMA7,PSMA7
PSMB1,PSMB1
PSMB2,PSMB2
PSMB3,PSMB3
PSMB4,PSMB4
PSMB5,PSMB5
PSMB6,PSMB6
PSMB7,PSMB7
PSMC1,PSMC1
PSMC2,PSMC2
PSMC3,PSMC3
PSMC4,PSMC4
PSMC5,PSMC5
PSMC6,PSMC6
PSMD1,PSMD1
PSMD11,PSMD11
PSMD12,PSMD12
PSMD13,PSMD13
PSMD14,PSMD14
PSMD2,PSMD2
PSMD4,PSMD4
PSMD6,PSMD6
PSMD7,PSMD7
PSMD8,PSMD8
PSMD9,PSMD9
PSME1,PSME1
PSME2,PSME2
PSME4,PSME4
PSMG3,PSMG3
PSMG4,PSMG4
PSPH,PSPH
PTBP1,PTBP1
PTBP2,PTBP2
PTBP3,PTBP3
PTCD3,PTCD3
PTEN,PTEN
PTGES3,PTGES3
PTGFRN,PTGFRN
PTGR1,PTGR1
PTGR2,PTGR2
PTK2,PTK2
PTK7,PTK7
PTMA,PTMA
PTP4A1,PTP4A1
PTP4A2,PTP4A2
PTPN11,PTPN11
PTPN12,PTPN12
PTPN14,PTPN14
PTPN2,PTPN2
PTPN3,PTPN3
PTPRE,PTPRE
PTPRF,PTPRF
PTPRK,PTPRK
PTTG1IP,PTTG1IP
PUM1,PUM1
PUM2,PUM2
PUM3,PUM3
PUS1,PUS1
PUS7L,PUS7L
PWP1,PWP1
PWWP3A,PWWP3A
PXDN,PXDN
PXMP4,PXMP4
PXN,PXN
PXYLP1,PXYLP1
QKI,QKI
QPRT,QPRT
QRICH1,QRICH1
QTRT2,QTRT2
R3HDM1,R3HDM1
R3HDM2,R3HDM2
RAB11A,RAB11A
RAB11FIP1,RAB11FIP1
RAB12,RAB12
RAB13,RAB13
RAB14,RAB14
RAB18,RAB18
RAB1A,RAB1A
RAB21,RAB21
RAB22A,RAB22A
RAB29,RAB29
RAB2A,RAB2A
RAB33B,RAB33B
RAB3B,RAB3B
RAB3D,RAB3D
RAB3GAP1,RAB3GAP1
RAB3GAP2,RAB3GAP2
RAB3IP,RAB3IP
RAB5B,RAB5B
RAB6A,RAB6A
RAB7A,RAB7A
RAB8A,RAB8A
RABAC1,RABAC1
RABEPK,RABEPK
RABGAP1L,RABGAP1L
RAC1,RAC1
RACK1,RACK1
RAD1,RAD1
RAD21,RAD21
RAD23A,RAD23A
RAD23B,RAD23B
RAD50,RAD50
RAD51C,RAD51C
RAD51D,RAD51D
RAD52,RAD52
RAD54L2,RAD54L2
RAF1,RAF1
RAI14,RAI14
RALBP1,RALBP1
RALGAPA1,RALGAPA1
RAN,RAN
RANBP2,RANBP2
RANGAP1,RANGAP1
RAP1B,RAP1B
RAP2B,RAP2B
RAPGEF2,RAPGEF2
RARRES1,RARRES1
RARS,RARS
RASAL2,RASAL2
RASEF,RASEF
RASGEF1B,RASGEF1B
RASGRP3,RASGRP3
RASSF3,RASSF3
RB1CC1,RB1CC1
RBBP4,RBBP4
RBBP5,RBBP5
RBBP6,RBBP6
RBBP7,RBBP7
RBBP8,RBBP8
RBFOX2,RBFOX2
RBIS,RBIS
RBM17,RBM17
RBM23,RBM23
RBM25,RBM25
RBM26,RBM26
RBM28,RBM28
RBM3,RBM3
RBM34,RBM34
RBM39,RBM39
RBM4,RBM4
RBM47,RBM47
RBM5,RBM5
RBM6,RBM6
RBM7,RBM7
RBM8A,RBM8A
RBMS1,RBMS1
RBMS2,RBMS2
RBMS3,RBMS3
RBMX,RBMX
RBPJ,RBPJ
RBPMS,RBPMS
RBSN,RBSN
RBX1,RBX1
RC3H1,RC3H1
RC3H2,RC3H2
RCAN1,RCAN1
RCHY1,RCHY1
RCN1,RCN1
RCN2,RCN2
RDH11,RDH11
RDH13,RDH13
RDX,RDX
REEP3,REEP3
REEP5,REEP5
REL,REL
RELCH,RELCH
REPS2,REPS2
RERE,RERE
RETREG2,RETREG2
REV3L,REV3L
REX1BD,REX1BD
REXO2,REXO2
RFC1,RFC1
RFFL,RFFL
RGPD5,RGPD5
RGPD6,RGPD6
RGS12,RGS12
RHBDF2,RHBDF2
RHEB,RHEB
RHOA,RHOA
RHOC,RHOC
RICTOR,RICTOR
RIF1,RIF1
RILPL1,RILPL1
RILPL2,RILPL2
RIN2,RIN2
RIOK3,RIOK3
RIT1,RIT1
RLIM,RLIM
RMDN1,RMDN1
RMND5A,RMND5A
RNASEH2A,RNASEH2A
RNASEH2B,RNASEH2B
RNASEK,RNASEK
RND3,RND3
RNF10,RNF10
RNF103,RNF103
RNF114,RNF114
RNF115,RNF115
RNF125,RNF125
RNF13,RNF13
RNF130,RNF130
RNF144B,RNF144B
RNF149,RNF149
RNF152,RNF152
RNF168,RNF168
RNF181,RNF181
RNF19A,RNF19A
RNF213,RNF213
RNF217,RNF217
RNF24,RNF24
RNF4,RNF4
RNF41,RNF41
RNF7,RNF7
RNFT2,RNFT2
RNMT,RNMT
RNPC3,RNPC3
RNPS1,RNPS1
RO60,RO60
ROCK1,ROCK1
ROCK2,ROCK2
ROMO1,ROMO1
RPAIN,RPAIN
RPAP2,RPAP2
RPF2,RPF2
RPGRIP1L,RPGRIP1L
RPL10,RPL10
RPL10A,RPL10A
RPL11,RPL11
RPL12,RPL12
RPL13,RPL13
RPL13A,RPL13A
RPL14,RPL14
RPL15,RPL15
RPL17,RPL17
RPL18,RPL18
RPL18A,RPL18A
RPL19,RPL19
RPL21,RPL21
RPL22,RPL22
RPL22L1,RPL22L1
RPL23,RPL23
RPL23A,RPL23A
RPL24,RPL24
RPL26,RPL26
RPL27,RPL27
RPL27A,RPL27A
RPL28,RPL28
RPL29,RPL29
RPL3,RPL3
RPL30,RPL30
RPL31,RPL31
RPL32,RPL32
RPL34,RPL34
RPL35,RPL35
RPL35A,RPL35A
RPL36,RPL36
RPL36A,RPL36A
RPL36AL,RPL36AL
RPL37,RPL37
RPL37A,RPL37A
RPL38,RPL38
RPL39,RPL39
RPL4,RPL4
RPL41,RPL41
RPL5,RPL5
RPL6,RPL6
RPL7,RPL7
RPL7A,RPL7A
RPL7L1,RPL7L1
RPL8,RPL8
RPL9,RPL9
RPLP0,RPLP0
RPLP1,RPLP1
RPLP2,RPLP2
RPN1,RPN1
RPN2,RPN2
RPP14,RPP14
RPP30,RPP30
RPS10,RPS10
RPS10-NUDT3,RPS10-NUDT3
RPS11,RPS11
RPS12,RPS12
RPS13,RPS13
RPS14,RPS14
RPS15,RPS15
RPS15A,RPS15A
RPS16,RPS16
RPS17,RPS17
RPS18,RPS18
RPS19,RPS19
RPS2,RPS2
RPS20,RPS20
RPS21,RPS21
RPS23,RPS23
RPS24,RPS24
RPS25,RPS25
RPS26,RPS26
RPS27,RPS27
RPS27A,RPS27A
RPS27L,RPS27L
RPS28,RPS28
RPS29,RPS29
RPS3,RPS3
RPS3A,RPS3A
RPS4X,RPS4X
RPS5,RPS5
RPS6,RPS6
RPS6KA3,RPS6KA3
RPS6KA5,RPS6KA5
RPS6KB1,RPS6KB1
RPS7,RPS7
RPS8,RPS8
RPS9,RPS9
RPSA,RPSA
RRAGC,RRAGC
RRBP1,RRBP1
RREB1,RREB1
RRP1,RRP1
RRP12,RRP12
RRP15,RRP15
RSBN1L,RSBN1L
RSF1,RSF1
RSKR,RSKR
RSL1D1,RSL1D1
RSL24D1,RSL24D1
RSPH3,RSPH3
RSPRY1,RSPRY1
RSRC1,RSRC1
RSRC2,RSRC2
RSRP1,RSRP1
RSU1,RSU1
RTCB,RTCB
RTF1,RTF1
RTN3,RTN3
RTN4,RTN4
RTRAF,RTRAF
RTTN,RTTN
RUFY2,RUFY2
RUNX1,RUNX1
RUVBL2,RUVBL2
RWDD1,RWDD1
RYK,RYK
RYR3,RYR3
S100A10,S100A10
S100A11,S100A11
S100A14,S100A14
S100A16,S100A16
S100A6,S100A6
S100PBP,S100PBP
S1PR2,S1PR2
SAA1,SAA1
SAA2,SAA2
SAFB2,SAFB2
SAG,SAG
SAMD12,SAMD12
SAMD4A,SAMD4A
SAMD4B,SAMD4B
SAMD5,SAMD5
SAMD8,SAMD8
SAMHD1,SAMHD1
SAP18,SAP18
SAR1A,SAR1A
SAR1B,SAR1B
SARAF,SARAF
SARNP,SARNP
SARS,SARS
SAT1,SAT1
SATL1,SATL1
SAV1,SAV1
SBDS,SBDS
SBF2,SBF2
SBNO1,SBNO1
SCAF11,SCAF11
SCAI,SCAI
SCAMP4,SCAMP4
SCARB2,SCARB2
SCD5,SCD5
SCFD1,SCFD1
SCIN,SCIN
SCLY,SCLY
SCN1B,SCN1B
SCN2A,SCN2A
SCNM1,SCNM1
SCNN1A,SCNN1A
SCO1,SCO1
SCPEP1,SCPEP1
SCRG1,SCRG1
SCYL3,SCYL3
SDAD1,SDAD1
SDC3,SDC3
SDC4,SDC4
SDCBP,SDCBP
SDCCAG8,SDCCAG8
SDHA,SDHA
SDHB,SDHB
SDHC,SDHC
SDHD,SDHD
SEC11A,SEC11A
SEC11C,SEC11C
SEC14L1,SEC14L1
SEC22B,SEC22B
SEC22C,SEC22C
SEC23A,SEC23A
SEC23IP,SEC23IP
SEC24D,SEC24D
SEC31A,SEC31A
SEC61A1,SEC61A1
SEC61B,SEC61B
SEC61G,SEC61G
SEC62,SEC62
SEC63,SEC63
SECISBP2,SECISBP2
SECISBP2L,SECISBP2L
SEH1L,SEH1L
SEL1L,SEL1L
SELENOF,SELENOF
SELENOK,SELENOK
SELENOM,SELENOM
SELENOS,SELENOS
SELENOT,SELENOT
SELENOW,SELENOW
SEM1,SEM1
SEMA3C,SEMA3C
SENP2,SENP2
SENP5,SENP5
SENP6,SENP6
SENP7,SENP7
SEPTIN11,SEPTIN11
SEPTIN2,SEPTIN2
SEPTIN7,SEPTIN7
SEPTIN7P2,SEPTIN7P2
SERAC1,SERAC1
SERBP1,SERBP1
SERF2,SERF2
SERINC1,SERINC1
SERINC3,SERINC3
SERINC5,SERINC5
SERP1,SERP1
SERPINA3,SERPINA3
SERPINB1,SERPINB1
SERPINB5,SERPINB5
SERPINB6,SERPINB6
SERPINH1,SERPINH1
SESTD1,SESTD1
SET,SET
SETD2,SETD2
SETD5,SETD5
SETD7,SETD7
SETDB2,SETDB2
SETX,SETX
SEZ6,SEZ6
SF1,SF1
SF3A3,SF3A3
SF3B1,SF3B1
SF3B2,SF3B2
SF3B3,SF3B3
SF3B5,SF3B5
SF3B6,SF3B6
SFI1,SFI1
SFN,SFN
SFPQ,SFPQ
SFRP1,SFRP1
SFT2D1,SFT2D1
SFT2D2,SFT2D2
SFXN1,SFXN1
SFXN2,SFXN2
SFXN5,SFXN5
SGCB,SGCB
SGCE,SGCE
SGK1,SGK1
SGK3,SGK3
SGPL1,SGPL1
SH2D3A,SH2D3A
SH3BGRL3,SH3BGRL3
SH3BP2,SH3BP2
SH3GL1,SH3GL1
SH3GLB1,SH3GLB1
SH3YL1,SH3YL1
SHC1,SHC1
SHISA2,SHISA2
SHISA9,SHISA9
SHMT2,SHMT2
SHOC2,SHOC2
SHPRH,SHPRH
SIK3,SIK3
SIN3A,SIN3A
SINHCAF,SINHCAF
SIPA1L1,SIPA1L1
SIRT2,SIRT2
SKA1,SKA1
SKAP2,SKAP2
SKIL,SKIL
SKP1,SKP1
SLC11A1,SLC11A1
SLC11A2,SLC11A2
SLC12A2,SLC12A2
SLC12A9,SLC12A9
SLC15A4,SLC15A4
SLC16A1,SLC16A1
SLC16A10,SLC16A10
SLC16A7,SLC16A7
SLC19A3,SLC19A3
SLC1A2,SLC1A2
SLC1A6,SLC1A6
SLC24A2,SLC24A2
SLC25A16,SLC25A16
SLC25A3,SLC25A3
SLC25A36,SLC25A36
SLC25A37,SLC25A37
SLC25A45,SLC25A45
SLC25A5,SLC25A5
SLC25A6,SLC25A6
SLC27A1,SLC27A1
SLC27A5,SLC27A5
SLC29A4,SLC29A4
SLC2A11,SLC2A11
SLC30A4,SLC30A4
SLC30A5,SLC30A5
SLC30A7,SLC30A7
SLC30A9,SLC30A9
SLC31A1,SLC31A1
SLC33A1,SLC33A1
SLC34A2,SLC34A2
SLC35A3,SLC35A3
SLC35B1,SLC35B1
SLC35D2,SLC35D2
SLC35E1,SLC35E1
SLC35E2A,SLC35E2A
SLC35E3,SLC35E3
SLC35F2,SLC35F2
SLC35F6,SLC35F6
SLC37A3,SLC37A3
SLC38A1,SLC38A1
SLC38A2,SLC38A2
SLC39A10,SLC39A10
SLC39A14,SLC39A14
SLC39A6,SLC39A6
SLC39A9,SLC39A9
SLC3A2,SLC3A2
SLC43A3,SLC43A3
SLC44A1,SLC44A1
SLC48A1,SLC48A1
SLC4A1AP,SLC4A1AP
SLC4A7,SLC4A7
SLC4A8,SLC4A8
SLC50A1,SLC50A1
SLC5A3,SLC5A3
SLC7A11,SLC7A11
SLC7A14,SLC7A14
SLC9A7,SLC9A7
SLCO3A1,SLCO3A1
SLFN12L,SLFN12L
SLFN5,SLFN5
SLIRP,SLIRP
SLK,SLK
SLMAP,SLMAP
SLTM,SLTM
SLU7,SLU7
SMAD2,SMAD2
SMAD5,SMAD5
SMAGP,SMAGP
SMARCA2,SMARCA2
SMARCA4,SMARCA4
SMARCA5,SMARCA5
SMARCB1,SMARCB1
SMARCC1,SMARCC1
SMARCC2,SMARCC2
SMARCE1,SMARCE1
SMC1A,SMC1A
SMC3,SMC3
SMC5,SMC5
SMCHD1,SMCHD1
SMG1,SMG1
SMIM11B,SMIM11B
SMIM12,SMIM12
SMIM14,SMIM14
SMIM26,SMIM26
SMIM7,SMIM7
SMS,SMS
SMU1,SMU1
SMURF2,SMURF2
SMYD4,SMYD4
SNAP23,SNAP23
SNAP29,SNAP29
SNAPC1,SNAPC1
SND1,SND1
SNF8,SNF8
SNIP1,SNIP1
SNRNP200,SNRNP200
SNRNP27,SNRNP27
SNRNP35,SNRNP35
SNRPA1,SNRPA1
SNRPB,SNRPB
SNRPB2,SNRPB2
SNRPC,SNRPC
SNRPD1,SNRPD1
SNRPD2,SNRPD2
SNRPD3,SNRPD3
SNRPE,SNRPE
SNRPF,SNRPF
SNRPG,SNRPG
SNTB2,SNTB2
SNU13,SNU13
SNW1,SNW1
SNX1,SNX1
SNX13,SNX13
SNX14,SNX14
SNX15,SNX15
SNX22,SNX22
SNX27,SNX27
SNX3,SNX3
SNX5,SNX5
SNX6,SNX6
SOCS2,SOCS2
SOD1,SOD1
SOD2,SOD2
SON,SON
SORBS1,SORBS1
SORT1,SORT1
SOS2,SOS2
SOX4,SOX4
SOX9,SOX9
SP1,SP1
SP100,SP100
SP110,SP110
SPAG7,SPAG7
SPAG9,SPAG9
SPARCL1,SPARCL1
SPART,SPART
SPAST,SPAST
SPATA17,SPATA17
SPATA6L,SPATA6L
SPATS2,SPATS2
SPATS2L,SPATS2L
SPC24,SPC24
SPCS1,SPCS1
SPCS2,SPCS2
SPCS3,SPCS3
SPECC1,SPECC1
SPEN,SPEN
SPG11,SPG11
SPG21,SPG21
SPG7,SPG7
SPIB,SPIB
SPIDR,SPIDR
SPIN1,SPIN1
SPIN3,SPIN3
SPINK9,SPINK9
SPINT1,SPINT1
SPINT2,SPINT2
SPIRE1,SPIRE1
SPIRE2,SPIRE2
SPN,SPN
SPOP,SPOP
SPPL2A,SPPL2A
SPPL3,SPPL3
SPRYD4,SPRYD4
SPTAN1,SPTAN1
SPTBN1,SPTBN1
SPTLC1,SPTLC1
SPTLC2,SPTLC2
SPTLC3,SPTLC3
SQOR,SQOR
SQSTM1,SQSTM1
SRD5A1,SRD5A1
SREK1,SREK1
SREK1IP1,SREK1IP1
SRGAP1,SRGAP1
SRGAP2,SRGAP2
SRGAP2B,SRGAP2B
SRGAP3,SRGAP3
SRI,SRI
SRP14,SRP14
SRP19,SRP19
SRP54,SRP54
SRP72,SRP72
SRP9,SRP9
SRPK1,SRPK1
SRPRA,SRPRA
SRPRB,SRPRB
SRRM1,SRRM1
SRRM2,SRRM2
SRSF10,SRSF10
SRSF11,SRSF11
SRSF2,SRSF2
SRSF3,SRSF3
SRSF4,SRSF4
SRSF5,SRSF5
SRSF6,SRSF6
SRSF7,SRSF7
SRSF9,SRSF9
SS18,SS18
SSB,SSB
SSBP1,SSBP1
SSBP2,SSBP2
SSH1,SSH1
SSR1,SSR1
SSR2,SSR2
SSR3,SSR3
SSR4,SSR4
SSRP1,SSRP1
SSTR2,SSTR2
SSU72,SSU72
ST13,ST13
ST3GAL2,ST3GAL2
ST3GAL3,ST3GAL3
ST3GAL5,ST3GAL5
ST5,ST5
ST8SIA1,ST8SIA1
STAG2,STAG2
STAM2,STAM2
STAP2,STAP2
STARD7,STARD7
STARD9,STARD9
STAT2,STAT2
STAT3,STAT3
STAT6,STAT6
STAU1,STAU1
STC2,STC2
STEAP2,STEAP2
STK25,STK25
STK3,STK3
STK4,STK4
STMN1,STMN1
STMP1,STMP1
STOM,STOM
STPG1,STPG1
STRAP,STRAP
STRBP,STRBP
STRN3,STRN3
STT3A,STT3A
STT3B,STT3B
STX16,STX16
STX3,STX3
STX7,STX7
STXBP3,STXBP3
SUB1,SUB1
SUCLG1,SUCLG1
SUCO,SUCO
SUDS3,SUDS3
SUGP2,SUGP2
SUGT1,SUGT1
SULT1A1,SULT1A1
SULT1B1,SULT1B1
SUMF2,SUMF2
SUMO1,SUMO1
SUMO2,SUMO2
SUN1,SUN1
SUPT16H,SUPT16H
SUPT20H,SUPT20H
SUPT5H,SUPT5H
SUPT6H,SUPT6H
SURF4,SURF4
SUSD6,SUSD6
SUZ12,SUZ12
SVIL,SVIL
SWAP70,SWAP70
SYAP1,SYAP1
SYF2,SYF2
SYNCRIP,SYNCRIP
SYNE1,SYNE1
SYNE2,SYNE2
SYNE3,SYNE3
SYNGR2,SYNGR2
SYNJ2,SYNJ2
SYNJ2BP,SYNJ2BP
SYNM,SYNM
SYNPO2,SYNPO2
SYNRG,SYNRG
SYPL1,SYPL1
SYTL2,SYTL2
SZT2,SZT2
TAB2,TAB2
TAB3,TAB3
TACC1,TACC1
TACC2,TACC2
TACSTD2,TACSTD2
TADA2A,TADA2A
TAF1D,TAF1D
TAF7,TAF7
TAF8,TAF8
TAGLN,TAGLN
TAGLN2,TAGLN2
TALDO1,TALDO1
TANGO6,TANGO6
TANK,TANK
TAOK1,TAOK1
TAOK3,TAOK3
TARDBP,TARDBP
TARS,TARS
TARS2,TARS2
TASOR,TASOR
TASOR2,TASOR2
TATDN1,TATDN1
TAX1BP1,TAX1BP1
TBC1D1,TBC1D1
TBC1D15,TBC1D15
TBC1D5,TBC1D5
TBC1D7,TBC1D7
TBC1D8B,TBC1D8B
TBCA,TBCA
TBCE,TBCE
TBK1,TBK1
TBL1X,TBL1X
TBL1XR1,TBL1XR1
TBRG1,TBRG1
TCAF1,TCAF1
TCAF2,TCAF2
TCEA1,TCEA1
TCEAL9,TCEAL9
TCEANC2,TCEANC2
TCERG1,TCERG1
TCF23,TCF23
TCF25,TCF25
TCF4,TCF4
TCF7L1,TCF7L1
TCF7L2,TCF7L2
TCOF1,TCOF1
TCP1,TCP1
TCTN1,TCTN1
TCTN2,TCTN2
TDG,TDG
TECR,TECR
TEP1,TEP1
TERF1,TERF1
TERF2,TERF2
TERF2IP,TERF2IP
TES,TES
TET2,TET2
TEX2,TEX2
TEX9,TEX9
TF,TF
TFAP2C,TFAP2C
TFAP4,TFAP4
TFDP2,TFDP2
TFG,TFG
TFPI,TFPI
TFRC,TFRC
TGIF1,TGIF1
TGOLN2,TGOLN2
THADA,THADA
THAP5,THAP5
THAP6,THAP6
THBS1,THBS1
THOC2,THOC2
THOC5,THOC5
THRAP3,THRAP3
THUMPD1,THUMPD1
THUMPD3,THUMPD3
TIA1,TIA1
TIAL1,TIAL1
TIGD1,TIGD1
TIMM17A,TIMM17A
TIMM17B,TIMM17B
TIMM44,TIMM44
TIMM50,TIMM50
TIMP1,TIMP1
TINAGL1,TINAGL1
TIPRL,TIPRL
TJP1,TJP1
TJP2,TJP2
TKT,TKT
TLCD2,TLCD2
TLK1,TLK1
TLK2,TLK2
TLN1,TLN1
TLR2,TLR2
TM2D1,TM2D1
TM2D3,TM2D3
TM4SF1,TM4SF1
TM7SF3,TM7SF3
TM9SF2,TM9SF2
TM9SF3,TM9SF3
TMA7,TMA7
TMBIM1,TMBIM1
TMBIM4,TMBIM4
TMBIM6,TMBIM6
TMCO1,TMCO1
TMCO3,TMCO3
TMED10,TMED10
TMED2,TMED2
TMED3,TMED3
TMED4,TMED4
TMED5,TMED5
TMED7,TMED7
TMED9,TMED9
TMEM106B,TMEM106B
TMEM116,TMEM116
TMEM120B,TMEM120B
TMEM123,TMEM123
TMEM127,TMEM127
TMEM134,TMEM134
TMEM138,TMEM138
TMEM14B,TMEM14B
TMEM14C,TMEM14C
TMEM154,TMEM154
TMEM159,TMEM159
TMEM161B,TMEM161B
TMEM165,TMEM165
TMEM167A,TMEM167A
TMEM167B,TMEM167B
TMEM170A,TMEM170A
TMEM181,TMEM181
TMEM189,TMEM189
TMEM192,TMEM192
TMEM199,TMEM199
TMEM209,TMEM209
TMEM212,TMEM212
TMEM236,TMEM236
TMEM241,TMEM241
TMEM245,TMEM245
TMEM258,TMEM258
TMEM30A,TMEM30A
TMEM33,TMEM33
TMEM40,TMEM40
TMEM41A,TMEM41A
TMEM41B,TMEM41B
TMEM43,TMEM43
TMEM45A,TMEM45A
TMEM50A,TMEM50A
TMEM50B,TMEM50B
TMEM59,TMEM59
TMEM67,TMEM67
TMEM68,TMEM68
TMEM87A,TMEM87A
TMEM8B,TMEM8B
TMF1,TMF1
TMOD3,TMOD3
TMSB10,TMSB10
TMSB4X,TMSB4X
TMTC3,TMTC3
TMX1,TMX1
TNC,TNC
TNFAIP2,TNFAIP2
TNFAIP3,TNFAIP3
TNFAIP8,TNFAIP8
TNFAIP8L1,TNFAIP8L1
TNFRSF12A,TNFRSF12A
TNFRSF1A,TNFRSF1A
TNFRSF9,TNFRSF9
TNFSF10,TNFSF10
TNKS,TNKS
TNKS2,TNKS2
TNPO1,TNPO1
TNRC6A,TNRC6A
TNRC6B,TNRC6B
TOB1,TOB1
TOGARAM1,TOGARAM1
TOGARAM2,TOGARAM2
TOMM20,TOMM20
TOMM22,TOMM22
TOMM5,TOMM5
TOMM6,TOMM6
TOMM7,TOMM7
TOP1,TOP1
TOP2B,TOP2B
TOR1AIP1,TOR1AIP1
TOR1AIP2,TOR1AIP2
TOX4,TOX4
TP53,TP53
TP53BP1,TP53BP1
TPD52,TPD52
TPD52L1,TPD52L1
TPH2,TPH2
TPI1,TPI1
TPM1,TPM1
TPM3,TPM3
TPM4,TPM4
TPP2,TPP2
TPR,TPR
TPT1,TPT1
TPTEP1,TPTEP1
TRA2A,TRA2A
TRA2B,TRA2B
TRAF3IP2,TRAF3IP2
TRAM1,TRAM1
TRAP1,TRAP1
TRAPPC12,TRAPPC12
TRAPPC2,TRAPPC2
TRAPPC3,TRAPPC3
TRAPPC3L,TRAPPC3L
TRAPPC4,TRAPPC4
TRAPPC5,TRAPPC5
TRAPPC8,TRAPPC8
TRIB1,TRIB1
TRIM13,TRIM13
TRIM22,TRIM22
TRIM33,TRIM33
TRIM38,TRIM38
TRIM41,TRIM41
TRIM44,TRIM44
TRIM56,TRIM56
TRIM69,TRIM69
TRIM72,TRIM72
TRIM73,TRIM73
TRIM8,TRIM8
TRIO,TRIO
TRIP11,TRIP11
TRIP12,TRIP12
TRMT10B,TRMT10B
TRMT112,TRMT112
TRMT9B,TRMT9B
TRNAU1AP,TRNAU1AP
TRNT1,TRNT1
TRPM4,TRPM4
TRPM7,TRPM7
TRPS1,TRPS1
TRRAP,TRRAP
TRUB2,TRUB2
TSC1,TSC1
TSC2,TSC2
TSC22D1,TSC22D1
TSC22D2,TSC22D2
TSEN15,TSEN15
TSG101,TSG101
TSHR,TSHR
TSHZ2,TSHZ2
TSNAX,TSNAX
TSPAN10,TSPAN10
TSPAN14,TSPAN14
TSPAN31,TSPAN31
TSPO,TSPO
TSPYL1,TSPYL1
TTC1,TTC1
TTC14,TTC14
TTC17,TTC17
TTC19,TTC19
TTC3,TTC3
TTC37,TTC37
TTC39B,TTC39B
TTC39C,TTC39C
TTC7B,TTC7B
TTL,TTL
TTLL3,TTLL3
TTLL5,TTLL5
TTPAL,TTPAL
TUBA1A,TUBA1A
TUBA1B,TUBA1B
TUBA1C,TUBA1C
TUBB,TUBB
TUBB4B,TUBB4B
TUBB6,TUBB6
TUBE1,TUBE1
TUBGCP2,TUBGCP2
TUBGCP4,TUBGCP4
TUBGCP5,TUBGCP5
TUFM,TUFM
TULP4,TULP4
TUT4,TUT4
TUT7,TUT7
TVP23B,TVP23B
TVP23C,TVP23C
TXLNA,TXLNA
TXN,TXN
TXN2,TXN2
TXNDC15,TXNDC15
TXNDC5,TXNDC5
TXNIP,TXNIP
TXNL1,TXNL1
TXNRD1,TXNRD1
TXNRD2,TXNRD2
TYRO3,TYRO3
TYW3,TYW3
TYW5,TYW5
U2AF1,U2AF1
U2AF1L5,U2AF1L5
U2SURP,U2SURP
UACA,UACA
UBA1,UBA1
UBA2,UBA2
UBA3,UBA3
UBA52,UBA52
UBA6,UBA6
UBAP2,UBAP2
UBAP2L,UBAP2L
UBB,UBB
UBC,UBC
UBE2B,UBE2B
UBE2D3,UBE2D3
UBE2G2,UBE2G2
UBE2H,UBE2H
UBE2I,UBE2I
UBE2K,UBE2K
UBE2L3,UBE2L3
UBE2N,UBE2N
UBE2R2,UBE2R2
UBE2V1,UBE2V1
UBE2V2,UBE2V2
UBE2W,UBE2W
UBE2Z,UBE2Z
UBE3A,UBE3A
UBE3C,UBE3C
UBE4A,UBE4A
UBE4B,UBE4B
UBL5,UBL5
UBN2,UBN2
UBQLN1,UBQLN1
UBR1,UBR1
UBR2,UBR2
UBR4,UBR4
UBR5,UBR5
UBXN1,UBXN1
UBXN2A,UBXN2A
UBXN4,UBXN4
UBXN7,UBXN7
UCHL3,UCHL3
UEVLD,UEVLD
UFC1,UFC1
UFD1,UFD1
UFM1,UFM1
UGCG,UGCG
UGDH,UGDH
UGGT1,UGGT1
UGGT2,UGGT2
UGP2,UGP2
UHRF1BP1L,UHRF1BP1L
UIMC1,UIMC1
